1
-622.61	2919.28	-0.257605
-7506.7	2339.59	-3.46941
-2272.02	2920.52	-0.939615
-511.52	2814.95	-0.215528
4233.91	3801.27	1.53325
6945.31	3696.49	2.548
-2198.58	2730.72	-0.940077
-2194.2	2726.89	-0.939566
-1457.48	2633.19	-0.635106
-3317.56	3009.9	-1.35216
-2609.99	3057.81	-1.05435
-2237.63	3177.37	-0.887201
1330.04	3363.51	0.51255
876.89	3158.01	0.348743
613.6	2682.05	0.264735
-2004.99	2770.7	-0.85173
412.47	4630.64	0.135469
1895	4360.87	0.641504
3068.7	3248.01	1.20371
1247.81	2897.29	0.518367
1099.98	2863.54	0.459525
-2188.72	2195.84	-1.0439
-697.46	709.329	-0.585134
-3453.22	4195.31	-1.19184
3149.27	5442.44	0.953358
-1472.72	2494.07	-0.658745
-586.49	673.851	-0.504696
1641.29	1271.79	1.02808
-381	0.390605	-13.6246
340.66	2991.15	0.13921
580.74	3038.34	0.235409
6227.72	10352.3	1.36866
-1783.87	4751.9	-0.578648
3100.11	3535.55	1.16583
5264.04	3994.48	1.86101
-3187.39	2690.51	-1.37302
-8560.62	8246.55	-2.10529
2972.52	3836.64	1.07282
1640.1	1384.79	0.985515
2604.61	9699.61	0.59121
2
-4882.39	2430.11	-2.21409
322.14	2766.12	0.136892
835.56	2790.97	0.353394
-2188.97	2679.15	-0.945642
89.67	2462.23	0.0403879
5547.29	3332.92	2.14698
805.3	2506.29	0.359599
-716.21	2456.58	-0.322634
-1051.02	3273.06	-0.410379
-2021.71	2392.23	-0.923816
335.06	2722.67	0.14355
-1606.29	2286.5	-0.750956
2111.48	2944.49	0.870095
-108.02	2743.69	-0.0461013
-2483.95	2460.29	-1.11867
-2037.85	2636.78	-0.88718
-3395.48	2613.72	-1.48473
1547.75	4073.06	0.542011
1642.93	3179.84	0.651318
1029.97	3121.58	0.412008
433.95	3263.82	0.169636
-763.23	17.3616	-4.09484
-505.06	4156.42	-0.17513
995.28	3048.62	0.402867
8993.87	5561.01	2.6928
-713.51	71.6705	-1.88458
-280.95	854.049	-0.214914
3168.58	1737.64	1.69969
-215.46	2569.71	-0.0949932
-22.42	3485.72	-0.00849131
979.29	2689.08	0.422168
-2012.4	8920.99	-0.476185
648.7	2763.09	0.275263
-1395.31	2383.48	-0.639073
-926.28	3325.71	-0.35871
132.1	8901.78	0.0313076
-3537.21	8877.49	-0.839462
-1275.74	3322.5	-0.494897
-151.97	1212.09	-0.0975326
2672.51	2963.93	1.09767
1
-694.52	3469.18	-0.263601
-378.52	3991.1	-0.133909
1108.55	3619.31	0.411926
-433	0.318742	-17.1453
1035.3	3574.38	0.387117
4922.96	4157.64	1.70679
